div,header,body,img1,img2
a11y-content,DreamBox Accessibility,"How do you take a content portfolio built on legacy technology and update it to to WCAG 2.1 accessibility criteria?  One step at a time..",na,na
a11y-overview,Project Overview:,"Redesigning the DreamBox Learning K-8 math platform to achieve WCAG 2.1 AA compliance while preserving hundreds of unique learning experiences.

**My role:** Design Lead",na,na
a11y-problem,The Problem:,"Over ten years of rapid feature growth left DreamBox with significant design debt with a massive catalog of interactive, media-rich educational content that wasn't accessible. As school districts increasingly mandated accessibility compliance, we needed to systematically transition our platform to meet WCAG 2.1 AA standards, opening up our learning tools to thousands of students previously blocked by UX barriers.",na,na
a11y-approach,The Approach:,"Partnering with NCAM, a recognized advocate for accessible software, we audited our legacy asset catalog and identified critical compliance gaps. To execute efficiently, we established a framework broken into three distinct execution streams:",na,na
a11y-inset-approach-01,Color Contrast,"Auditing and updating visual assets to meet AA contrast ratios without losing the playful, engaging brand identity, allowing clear, consistent and legible UI",na,na
a11y-inset-approach-02,Keyboard,"Mapping logical focus states and tab orders for complex, interactive math games that previously required a mouse to open doors to multi-modal device support.",na,na
a11y-inset-approach-03,Screen Reader,"Standardized ARIA labels, focus order, and web component alignment for cross-platform screen reader support for dynamic, interactive on-screen content.",na,na
a11y-contrast,Color Contrast,"In parallel, I spearheaded a comprehensive color contrast audit of our catalog, consisting of over 1200 lesson levels across three content areas with distinct visual look and feel. The end result was a categorical sort of the catalog into four general buckets: K-2 ""primary"", 3-5 ""intermediate"", 6-8 ""agnostic"" and a catch-all ""potpourri"" of the lesson sets that didn't fit into those categories.

Taking this as an opportunity to apply more consistency to the portfolio, we identified the key characteristics of those categories and developed color pallets and design patterns that supported the 3:1 or 4.5:1 contrast requirements defined by WCAG. We then began the arduous task of updating over 90% of the content to align to these patterns.",na,na
a11y-keyboard,Keyboard Navigation,"For keyboard navigation, I developed prototypes for some of the more novel interaction patterns and shared those with our partners at NCAM for review. Upon approval, refined prototypes were tested with users of various sight levels, from 20/20 vision to completely blind.  Those learnings were applied at scale as predictable, repeatable patterns.",na,na
a11y-keyboard-caption,,"In this example, we see a prototype of a user leveraging the keyboard to quickly tab between landmarks, and using arrows to navigate through their subcomponents.",na,na
a11y-reader,Assistive Technology (Screen Readers) ,"Like keyboard navigation, this had the additional complication of our underlying technology. Built in an HTML5 Canvas, DreamBox it is not a native web application so none of the content was immediately readable in the browser DOM. We ultimately created a 'shadow' DOM and hid it under our canvas. Using this shadow DOM, we were able to drive tab order, ARIA markup and map to more common web conventions like tables, grids and common UI.",na,na
a11y-result,The Result:,"These efforts led to a wholesale refactor of a decade of content, captured in over 1200 lessons, aligning to accessible color contrast, keyboard navigation and assistive technology conventions. This protected $4M in ARR, immediately secured another $1.5 in expansion, and opened up an 80% reach for available RFP that were previously unattainable.",na,na
a11y-inset-result-01,Compliance,"Excluding a subset of content identified with visual bias, successfully brought the legacy catalog up to WCAG 2.1 AA standards, verified by two independent agencies.",na,na
a11y-inset-result-02,Retention & RFP,"Protected core school district accounts and unlocked new expansion opportunities that strictly required accessibility compliance.",na,na
a11y-inset-result-03,Inclusivity,"Established an accessible design component library, patterns, and production best practices to ensure all future features are compliant out-of-the-box.",na,na
